"Question #","Question ID","Question Text","Option #","Answer Option","Scores Toward"
"1","q1","When a high-stakes initiative suddenly goes off track, what is your first internal reaction?","1","You pull back to analyze the data and find where the logic failed.","head"
"1","q1","When a high-stakes initiative suddenly goes off track, what is your first internal reaction?","2","You move quickly to take charge and get things back on track.","action"
"1","q1","When a high-stakes initiative suddenly goes off track, what is your first internal reaction?","3","Your focus goes immediately to the team — you want to understand how they are being affected and what they need from you.","heart"
"2","q2","Under pressure, what do others most often tell you that you need to do differently?","1","You need to move forward with less over-analysis and trust your judgment sooner.","head"
"2","q2","Under pressure, what do others most often tell you that you need to do differently?","2","You need to be more direct about priorities instead of managing everyone's feelings first.","heart"
"2","q2","Under pressure, what do others most often tell you that you need to do differently?","3","You need to slow down long enough to consider how decisions are affecting people.","action"
"3","q3","In high-level leadership conversations, where do you naturally contribute most?","1","You track how people will experience the decision and what it will mean relationally.","heart"
"3","q3","In high-level leadership conversations, where do you naturally contribute most?","2","You name the system-level risks, the long-term implications, and what others may be missing.","head"
"3","q3","In high-level leadership conversations, where do you naturally contribute most?","3","You focus on what needs to happen next, who owns it, and how to keep things moving.","action"
"4","q4","When an important issue is being avoided, what is your natural leadership response?","1","I address it directly, name what needs to be faced, and clarify what has to happen next.","action"
"4","q4","When an important issue is being avoided, what is your natural leadership response?","2","I look for the assumptions, missing information, or competing interpretations that may be keeping it unresolved.","head"
"4","q4","When an important issue is being avoided, what is your natural leadership response?","3","I pay attention to the relational context and what people may be protecting, feeling, or needing before I respond.","heart"
"5","q5","In leadership meetings, what kind of contribution do you instinctively value most?","1","You value awareness of people, tone, and how decisions affect the room.","heart"
"5","q5","In leadership meetings, what kind of contribution do you instinctively value most?","2","You value directness, conviction, and the ability to move things forward.","action"
"5","q5","In leadership meetings, what kind of contribution do you instinctively value most?","3","You value clear thinking, objectivity, and well-reasoned ideas.","head"
"6","q6","When faced with a dense set of details, metrics, or analysis, what is your natural response?","1","You lose patience when it slows decisions down or gets in the way of moving forward.","action"
"6","q6","When faced with a dense set of details, metrics, or analysis, what is your natural response?","2","You enjoy it when it helps you understand patterns, structure, and what is really going on.","head"
"6","q6","When faced with a dense set of details, metrics, or analysis, what is your natural response?","3","You can do it, but you would rather focus on the people and context behind the numbers.","heart"
"7","q7","A trusted colleague gives you critical feedback about your leadership style. What is your most natural first response?","1","I first consider how the feedback may affect the relationship and how others may be experiencing me.","heart"
"7","q7","A trusted colleague gives you critical feedback about your leadership style. What is your most natural first response?","2","I focus on what needs to change, improve, or be addressed moving forward.","action"
"7","q7","A trusted colleague gives you critical feedback about your leadership style. What is your most natural first response?","3","I analyze the feedback and compare it against other data points before fully accepting it.","head"
"8","q8","You need to make a decision that you know will disappoint someone you respect. What do you do?","1","You make the call, communicate it directly, and focus on moving forward — you believe clarity is more respectful than delay.","action"
"8","q8","You need to make a decision that you know will disappoint someone you respect. What do you do?","2","You invest real time preparing how to deliver the news, prioritizing the relationship even after the decision is made.","heart"
"8","q8","You need to make a decision that you know will disappoint someone you respect. What do you do?","3","You review your reasoning one more time before acting, wanting to be fully confident you can justify the choice.","head"
"9","q9","When the pressure is high, what most naturally guides your leadership decisions?","1","You return to truth — understanding what is accurate, objective, and really happening.","head"
"9","q9","When the pressure is high, what most naturally guides your leadership decisions?","2","You return to connection — staying aligned with people, meaning, and shared purpose.","heart"
"9","q9","When the pressure is high, what most naturally guides your leadership decisions?","3","You return to action — moving with conviction, gut instinct, and decisive execution.","action"
